Transfers,,1/29/18,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-9.85
Transfers,,1/29/18,,CAFE RIO MANASSAS        MANASSAS     VA,Restaurants/Dining,-7.35
Transfers,,1/29/18,,DUNKIN #xx4087 Q35       MANASSAS     VA,Restaurants/Dining,-6.13
Transfers,,1/29/18,,USAA FUNDS TRANSFER CR,Transfers,500
Transfers,,1/26/18,,CAVA MEZZE GRILL GAINS   GAINESVILLE  VA,Restaurants/Dining,-22.51
Transfers,,1/26/18,,MMS MWASHHOSP xxxx0819   FREDERICKSBURVA,Other Expenses,-8
Transfers,,1/26/18,,AMAZON MKTPLACE PMTS     AMZN.COM BILLWA,Personal Care,-7.03
Transfers,,1/25/18,,AMAZON MKTPLACE PMTS     AMZN.COM BILLWA,Personal Care,-137.95
Transfers,,1/25/18,,GRUBHUBCURRYMANTRA       GRUBHUB.COM  NY,Restaurants/Dining,-32.89
Transfers,,1/25/18,,7-ELEVEN                 FAIRFAX      VA,Groceries,-15.04
Transfers,,1/25/18,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-9.85
Transfers,,1/24/18,,USAA FUNDS TRANSFER CR,Transfers,375
Transfers,,1/23/18,,AMAZON MKTPLACE PMTS W   WWW.AMAZON.COWA,General Merchandise,-633.87
Transfers,,1/23/18,,AMAZON MKTPLACE PMTS W   WWW.AMAZON.COWA,General Merchandise,-145.1
Transfers,,1/22/18,,AMAZON MKTPLACE PMTS     AMZN.COM BILLWA,Personal Care,-78.36
Transfers,,1/22/18,,CRS OIL INC              OAKTON       VA,Gasoline/Fuel,-52.1
Transfers,,1/22/18,,ABC*Anytime Fitness      xxx-xxx9262  VA,Personal Care,-44.99
Transfers,,1/22/18,,AMAZON MKTPLACE PMTS     AMZN.COM BILLWA,Personal Care,-16.99
Transfers,,1/22/18,,7-ELEVEN                 WOODBRIDGE   VA,Groceries,-16.55
Transfers,,1/22/18,,7-ELEVEN                 WOODBRIDGE   VA,Groceries,-12.84
Transfers,,1/22/18,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-5.82
Transfers,,1/22/18,,USAA FUNDS TRANSFER CR,Transfers,800
Transfers,,1/19/18,,Amazon.com               AMZN.COM BILLWA,Pets/Pet Care,-13.96
Transfers,,1/16/18,,FIX AND STYLE            FAIRFAX      VA,Electronics,-116.59
Transfers,,1/16/18,,HAIR CUTTERY #137        OAKTON       VA,Personal Care,-24
Transfers,,1/16/18,,KING STREET PARKING GA   ALEXANDRIA   VA,Parking,-14
Transfers,,1/12/18,,CAPITAL ONE2938 CHAIN BRIOAKTON       VA,Credit Card Payments,-103
Transfers,,1/12/18,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-19.69
Transfers,,1/12/18,,USAA FUNDS TRANSFER CR,Transfers,500
Transfers,,1/11/18,,CHIPOTLE 2001            OAKTON       VA,Restaurants/Dining,-11.61
Transfers,,1/10/18,,ASSOC IN EMERG CARE      xxx-xxx-8187 MD,Education,-250
Transfers,,1/10/18,,ANYTIME FITNESS          VIENNA       VA,Personal Care,-44.99
Transfers,,1/10/18,,FAIRFAX CITGO            FAIRFAX      VA,Gasoline/Fuel,-43.05
Transfers,,1/9/18,,CAVA MEZZE GRILL VIENN   VIENNA       VA,Restaurants/Dining,-12.94
Transfers,,1/9/18,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-11.97
Transfers,,1/9/18,,Spotify USA              xxx-xxx5380  NY,Entertainment,-9.99
Transfers,,1/9/18,,7-ELEVEN                 ALEXANDRIA   VA,Groceries,-8.99
Transfers,,1/8/18,,FISDAP                   xxx-xxx-9241 MN,Eric - Education,-26.25
Transfers,,1/8/18,,FISDAP                   xxx-xxx-9241 MN,Eric - Education,-26.25
Transfers,,1/8/18,,AMAZON MKTPLACE PMTS W   WWW.AMAZON.COWA,General Merchandise,-24.99
Transfers,,1/8/18,,PANERA BREAD xxxxxx      xxx-xxx-6372 VA,Restaurants/Dining,-21.18
Transfers,,1/8/18,,CHIPOTLE 1249            GAINESVILLE  VA,Restaurants/Dining,-12.35
Transfers,,1/8/18,,STARBUCKS STORE x7866    LORTON       VA,Restaurants/Dining,-9.33
Transfers,,1/8/18,,FC PUBLIC SAFETY GARAG   FAIRFAX      VA,Parking,-5
Transfers,,1/8/18,,MMS INOVA FAIRxxxx2200   FALLS CHURCH VA,Restaurants/Dining,-2.35
Transfers,,1/8/18,,USAA FUNDS TRANSFER CR,Transfers,600
Transfers,,1/5/18,,WPY*Kelley Hand          xxx-xxx-3729 CA,Other Expenses,-100
Transfers,,1/5/18,,AMAZON MKTPLACE PMTS W   WWW.AMAZON.COWA,General Merchandise,-31.58
Transfers,,1/5/18,,WPY*YouCaring            xxx-xxx-3729 CA,Charitable Giving,-15
Transfers,,1/5/18,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-11.97
Transfers,,1/4/18,,MISSION BBQ GAINES       GAINESVILLE  VA,Restaurants/Dining,-27.61
Transfers,,1/4/18,,CAVA MEZZE GRILL FAIRF   FAIRFAX      VA,Restaurants/Dining,-26.11
Transfers,,1/3/18,,VA DMV TYSONS CORNER C   VIENNA       VA,Automotive Expenses,-108.5
Transfers,,1/3/18,,VA DMV TYSONS CORNER C   VIENNA       VA,Automotive Expenses,-20
Transfers,,1/3/18,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-11.97
Transfers,,1/3/18,,MMS INOVA FAIRxxxx2200   FALLS CHURCH VA,Restaurants/Dining,-5.99
Transfers,,1/2/18,,USAA P&amp;C INT     AUTOPAY    ***********2468,Insurance,-85.12
Transfers,,1/2/18,,OURISMAN FAIRFAX TOYOT104FAIRFAX      VA,Automotive Expenses,-174.88
Transfers,,1/2/18,,7-ELEVEN                 FALMOUTH     VA,Groceries,-39.32
Transfers,,1/2/18,,MMS MWASHHOSP xxxx0819   FREDERICKSBURVA,Restaurants/Dining,-10.09
Transfers,,1/2/18,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-9.85
Transfers,,1/2/18,,MMS MWASHHOSP xxxx0819   FREDERICKSBURVA,Restaurants/Dining,-6.54
Transfers,,12/29/17,,EINSTEIN BROS BAGELS26   FAIRFAX      VA,Restaurants/Dining,-9.62
Transfers,,12/29/17,,7-ELEVEN                 VIENNA       VA,Groceries,-7.14
Transfers,,12/29/17,,USAA FUNDS TRANSFER CR,Transfers,500
Transfers,,12/28/17,,PANERA BREAD xx1977      FALLS CHURCH VA,Restaurants/Dining,-22.58
Transfers,,12/28/17,,IFH BLUE &amp; GRAY GARAGE   FALLS CHURCH VA,Automotive Expenses,-5
Transfers,,12/28/17,,MMS INOVA FAIRxxxx2200   FALLS CHURCH VA,Restaurants/Dining,-3.89
Transfers,,12/28/17,,USA*CANTEEN VENDING      SUITLAND     MD,Groceries,-1.7
Transfers,,12/27/17,,PANERA BREAD xx1977      FALLS CHURCH VA,Restaurants/Dining,-11.35
Transfers,,12/27/17,,USA*CANTEEN SUITLAND V   SUITLAND     MD,Restaurants/Dining,-4.75
Transfers,,12/26/17,,BODYBUILDING.COM         xxx-xxx-8417 ID,Personal Care,-145.38
Transfers,,12/26/17,,TARGET T- 2905 Distric   FAIRFAX      VA,General Merchandise,-132.32
