BusinessSparkVisa,,5/20/19,,TST* COOK - NEEDHAM,Business Miscellaneous,-71.13
BusinessSparkVisa,,6/3/19,Boston gift card Jane,Whole Foods Market,Business Miscellaneous,-100
BusinessChecking,,6/18/19,Payment to Apricot Island Marian Caitlin,TRANSFERWISE INC,Business Miscellaneous,-8650.04
ChasePersonalCredit,,7/28/19,stamps ,USPS PO xxxxxx0190,Business Miscellaneous,-11
ChasePersonalCredit,,7/30/19,,TEMI COTRANSCRIPTION,Business Miscellaneous,-2.5
ChasePersonalCredit,,7/31/19,,TEMI COTRANSCRIPTION,Business Miscellaneous,-2.9
ChasePersonalCredit,,8/4/19,,LYFT *LOST AND FOUND,Business Miscellaneous,-15
ChasePersonalCredit,,8/5/19,LYFT *RIDE SAT 7PM Caitlin,LYFT *RIDE SAT 7PM,Business Miscellaneous,-8.54
ChasePersonalCredit,,8/6/19,BEST BUY MHT xxxx2972 ADAPTER CLICKER,BEST BUY MHT xxxx2972,Business Miscellaneous,-18.01
ChasePersonalCredit,,8/8/19,GAYLORD NTL CVPS PKG Agile Conf,GAYLORD NTL CVPS PKG,Business Miscellaneous,-30
ChasePersonalCredit,,8/9/19,good bye to Caitlin,IAD DULLES HOURLY 56,Business Miscellaneous,-12
ChasePersonalCredit,,8/11/19,,BEST BUY MHT xxxx2972,Business Miscellaneous,18.01
ChasePersonalCredit,,8/20/19,AMZN Mktp US*MO51Z8LW1 - Cable USBC to pho,AMZN Mktp US*MO51Z8LW1,Business Miscellaneous,-22.87
ChasePersonalCredit,,8/22/19,,TEMI COTRANSCRIPTION,Business Miscellaneous,-4.6
ChasePersonalCredit,,8/25/19,,TEMI COTRANSCRIPTION,Business Miscellaneous,-3
ChasePersonalCredit,,8/25/19,,REI #84 FAIRFAX,Business Miscellaneous,137.8
ChasePersonalCredit,,8/27/19,,SP * TENABLESHOP,Business Miscellaneous,-72.67
ChasePersonalCredit,,9/3/19,CARDSTOCK FEDEX OFFICxxxxxxx5137,FEDEX OFFICxxxxxxx5137,Business Miscellaneous,-5.5
ChasePersonalCredit,,10/3/19,,BEST BUY MHT xxxx2972,Business Miscellaneous,-339.18
ChasePersonalCredit,,10/4/19,,BEST BUY MHT xxxx2972,Business Miscellaneous,339.18
ChasePersonalCredit,,10/9/19,,USPS PO xxxxxx0190,Business Miscellaneous,-15.49
ChasePersonalCredit,,10/14/19,KICKSTARTER.COM Failure Toy,KICKSTARTER.COM,Business Miscellaneous,-236.95
ChasePersonalCredit,,1/3/19,,COMCAST,Cable/Satellite Services,-59.98
ChasePersonalCredit,,2/1/19,,COMCAST,Cable/Satellite Services,-39.99
ChasePersonalCredit,,3/3/19,,COMCAST,Cable/Satellite Services,-39.99
ChasePersonalCredit,,4/3/19,,COMCAST,Cable/Satellite Services,-63.61
ChasePersonalCredit,,5/3/19,,COMCAST,Cable/Satellite Services,-53.77
ChasePersonalCredit,,6/3/19,,COMCAST,Cable/Satellite Services,-53.77
ChasePersonalCredit,,7/3/19,,COMCAST,Cable/Satellite Services,-53.77
ChasePersonalCredit,,8/4/19,,COMCAST,Cable/Satellite Services,-53.77
ChasePersonalCredit,,9/3/19,,COMCAST,Cable/Satellite Services,-53.77
ChasePersonalCredit,,10/3/19,,COMCAST,Cable/Satellite Services,-53.77
ChasePersonalCredit,,1/1/19,,VILLAGE HEALTH WORKS,Charitable Giving,-103
ChasePersonalCredit,,1/1/19,,BB *CORNERSTONES,Charitable Giving,-100
PersonalChecking,,3/11/19,Loan,Christie Gift-Loan Transfer,Christie - Assistance,-2000
PersonalChecking,,4/4/19,Loan,USAA FUNDS TRANSFER DB,Christie - Assistance,-1000
PersonalChecking,,4/24/19,,USAA FUNDS TRANSFER DB,Christie - Assistance,-100
PersonalChecking,,4/29/19,Loan,USAA FUNDS TRANSFER DB,Christie - Assistance,-700
JointChecking,,8/9/19,Loan, USAA FUNDS TRANSFER DB~~03045~~~~74514~~0~~2151561747~~0302,Christie - Assistance,-3200
